id,name,city,zipcode,membersCount,lat,lng
2,En-marche-Abbeville-2,Abbeville,80100,21,50.1053,1.8353
3,En marche Aix-les-Bains,Aix_les_Bains,73100,48,45.6884,5.91528
4,EnMarche-AixEnProvence,Aix-en-Provence,13100,151,43.5283,5.4497
5,En-marche-Albertville,Albertville,73200,6,45.7058,6.3704
6,En-marche-Altkirch-6,Altkirch,68130,1,47.6271,7.23907
7,Amilly-Montargis,Montargis,45200,34,47.9956,2.73318
8,En-marche-Annecy centre-lac,Annecy,74000,20,45.9,6.1167
9,En-marche Vallée de l'Arve,Arenthon,74800,15,46.06,6.31304
11,En-marche-Armentieres-11,Armentieres,59280,4,50.6498,2.8741
12,En-marche-Porte des Flandres Armentières La Chapelle,Armentieres,59280,9,50.6806,2.87749
13,En-marche-Avignon-13,Avignon,84000,43,43.9483,4.8089
14,En-marche-Bailleul-14,Bailleul,59270,1,50.7333,2.7
15,En Marche Bayonne !!,Bayonne,64100,27,43.4833,-1.4833
16,En-marche-Beaugency-16,Beaugency,45190,3,47.8286,1.5711
17,En-marche-Bellegarde_du_Loiret-17,Bellegarde_du_Loiret,45270,4,48.037,2.5787
18,En-marche-Bellegarde-sur-Valserine-18,Bellegarde-sur-Valserine,01200,5,46.1082,5.82857
19,En-marche-Bellevigny-19,Bellevigny,85170,1,46.8234,-1.5301
21,En-marche-Bethune-21,Bethune,62400,10,50.5487,2.6662
23,En-marche-blois-23,blois,41000,20,47.6,1.2667
24,En-marche-Bohain-02110,Bohain,02110,1,49.9884,3.44313
25,En Marche Bondues,Bondues,59910,9,50.702,3.095
26,En-marche-Bondues._Lille-26,Bondues._Lille,59910,1,50.702,3.095
28,En-marche-Boulogne-28,Boulogne,92100,71,48.8333,2.25
29,En-marche-Boulogne-29,Boulogne,92100,0,48.8333,2.25
30,En-marche-Boulogne-30,Boulogne,92100,1,48.8333,2.25
31,En-marche-Boulogne-31,Boulogne,92100,1,48.8333,2.25
32,En-marche-Boulogne_Sur_Mer-32,Boulogne_Sur_Mer,62200,1,50.7167,1.6167
33,Nord Gironde En Marche !,Gauriac,33710,7,45.0642,-0.6172
34,En-marche-Brest,Brest,29200,77,48.4,-4.4833
37,En-marche-Brioude-37,Brioude,43100,1,45.2889,3.4813
38,En-marche-Cabourg-38,Cabourg,14390,1,49.2532,-0.1588
39,En marche Cabries,Cabries,13480,13,43.4413,5.3788
40,Comité inactif remplacé par En Marche Cahors 3483 sur Vers,Cahors,46000,22,44.4491,1.4366
41,En-marche-Cambrai-41,Cambrai,59400,1,50.1478,3.3217
42,En-marche-Cambremer-42,Cambremer,14340,1,49.1128,0.0094
43,En Marche Cannes,Cannes,06400,70,43.5513,7.0128
44,En-marche-Carcassonne-44,Carcassonne,11000,3,43.2167,2.35
45,En-marche-Carhaix-Plouguer-45,Carhaix-Plouguer,29270,5,48.2364,-3.6691
46,En-marche-Bergnicourt,bergnicourt,08300,2,49.4202,4.25506
47,En Marche Carmaux avec E.Macron,Carmaux,81400,3,44.0486,2.15265
48,En Marche- Pays d'Aubagne et Ciotaden,Aubagne,13400,23,43.2894,5.59824
50,En-marche-Castelnau_Le_Lez-50,Castelnau_Le_Lez,34170,32,43.6333,3.9
51,En-marche-Castelnaudary-51,Castelnaudary,11400,4,43.3446,1.8906
52,En Marche CASTRES Sud,Castres,81100,10,43.6058,2.24
53,En-marche-Castries-53,Castries,34160,2,43.7956,4.0147
54,En-marche-Cernay-54,Cernay,68700,4,47.8208,7.1778
55,En Marche Cesson-Sévigné,Cesson-Sevigne,35510,42,48.117,-1.60431
56,En-marche-Chamonix-56,Chamonix,74400,7,45.9238,6.8693
57,En-marche-Chartres-57,Chartres,28000,35,48.4469,1.4892
58,En-marche-Chartres-58,Chartres,28000,1,48.4469,1.4892
59,En-marche-Chateaudun-59,Chateaudun,28200,1,48.0599,1.4158
60,En-marche-Ch_teauroux-60,Ch_teauroux,36000,13,46.8167,1.7
62,En-marche-Chelles-62,Chelles,77500,6,48.8811,2.5929
63,En-marche-Chevreuse-63,Chevreuse,78460,15,48.7066,2.0333
64,En-marche-Clamart-64,Clamart,92140,2,48.803,2.2669
65,En Marche Education Clermont-Ferrand,Clermont_Ferrand,63000,18,45.772,3.0938
66,En Marche Clermont - Lecoq,Clermont_Ferrand,63000,43,45.7729,3.08688
67,En Marche Clermont-Jaude,Clermont-Ferrand,63000,18,45.7763,3.08217
68,En-marche-Cluny-68,Cluny,71250,8,46.4274,4.6012
69,En-marche-Compiegne,Compiegne,60200,47,49.4179,2.8261
70,En-marche-Concarneau-70,Concarneau,29900,36,47.875,-3.9224
71,En marche au Pays de Coulommiers,Coulommiers,77120,13,48.8078,3.08211
72,Croix En Marche,Croix,59170,15,50.6747,3.1539
74,En-marche-Cuxac_d_Aude-74,Cuxac_d_Aude,11590,5,43.246,2.999
75,En-marche-Deauville-75,Deauville,14800,6,49.3059,0.0633
76,En-marche-Campus Universitaire / Jeunes Avec Macron,Dijon,21000,10,47.3161,5.06676
77,En-marche-Divonne-les-Bains-77-officiel,Divonne-les-Bains,01220,17,46.3674,6.13402
78,En-marche-Dogneville-78,Dogneville,88000,3,48.2001,6.5153
79,En-marche-Douai-79,Douai,59500,9,50.3667,3.0667
80,En-marche-Douai-80,Douai,59500,1,50.3667,3.0667
81,Dracénie En Marche,Draguignan,83300,46,43.5394,6.4661
82,En-marche-Dunkerque-82,Dunkerque,59240,39,51.0362,2.40003
83,En-marche-Escatalens-83,Escatalens,82700,3,43.9426,1.1683
84,En-marche-Falaise-84,Falaise,14700,1,48.9,-0.1667
85,En-marche-Faulquemont-85,Faulquemont,57380,1,49.0261,6.6247
86,En Marche - Fécamp,Fecamp,76400,15,49.7572,0.376827
87,En-marche-Flere_la_Riviere-87,Flere_la_Riviere,36700,1,46.9144,1.1617
88,En Marche! Fontainebleau Sud 77,Fontainebleau,77300,28,48.4037,2.69961
89,En-marche-Gannat-89,Gannat,03800,9,46.1002,3.1989
90,En-marche-Gap-90,Gap,05000,19,44.5543,6.1627
91,La Pévèle En Marche,Genech,59242,13,50.5308,3.2164
92,Gex-centre,Gex,01170,3,46.3333,6.0578
93,Le Giennois-En-marche,Gien,45500,10,47.6843,2.63254
94,En Marche Gif sur Yvette,Gif sur Yvette,91190,6,48.6982,2.13674
95,En Marche! - Gisors,Gisors,27140,9,49.2806,1.7764
96,En-marche-Gramat-96,Gramat,46500,2,44.7807,1.7196
97,En-marche-Grasse-97,Grasse,06130,19,43.6667,6.9167
100,En-marche-Guingamp-100,Guingamp,22200,14,48.5565,-3.1853
101,En-marche-SQY 2,Guyancourt,78280,20,48.7733,2.0739
102,En-marche-Hagetmau-102,Hagetmau,40700,10,43.6589,-0.5917
103,En-marche-Halluin-Roncq-Comines,Roncq,59223,5,50.7587,3.12096
105,En-marche-Hesingue-105,Hesingue,68220,5,47.499,7.4546
106,En-marche-Houdemont-106,Houdemont,54180,6,48.65,6.1833
107,En Marche! à Houilles,Houilles,78800,42,48.9216,2.1926
108,En-marche-Hyeres-108,Hyeres,83400,9,43.1195,6.139
110,En-marche-Ile_Rousse-110,Ile_Rousse,20220,1,42.5884,8.906
111,En marche-Limoges,Limoges,87000,38,45.8343,1.2626
112,En Marche Issoire Val d'Allier,Issoire,63500,26,45.5442,3.2489
113,En-marche-Issy_les_moulineaux-113,Issy_les_moulineaux,92130,0,48.821,2.2772
114,En-marche-Issy-les-Moulineaux-114,Issy-les-Moulineaux,92130,12,48.821,2.2772
115,En-marche-Jonzac-115,Jonzac,17500,6,45.4387,-0.441622
117,En-marche-La_Chapelle-Aubareil-117,La_Chapelle-Aubareil,24290,1,45.1167,1.15
118,En-marche-La_Madeleine-118,La_Madeleine,59000,0,50.633,3.0586
119,En-marche-La_Madeleine-Saint Maur/Botanique,La_Madeleine,59110,0,50.646,3.0758
120,En-marche-La_Roche_des_Arnauds-120,La_Roche_des_Arnauds,05400,5,44.5713,5.8735
121,En-marche-Lambersart-121,Lambersart,59130,0,50.65,3.0333
123,En-marche-Lambersart-123,Lambersart,59130,1,50.65,3.0333
124,En-marche-Lambersart_et_Lille-124,Lambersart_et_Lille,59130,1,50.65,3.0333
125,En Marche Lardy,Lardy,91510,10,48.5185,2.2736
126,En-marche-Le_Coudray-126,Le_Coudray,28000,1,48.4469,1.4892
127,En-marche-Le_Grand_Lemps-127,Le_Grand_Lemps,38690,10,45.4672,5.3507
128,En Marche Leers,Leers,59115,10,50.6822,3.2443
130,En Marche pour Levallois !,Levallois-Perret,92300,63,48.8919,2.28493
131,Lezennes - En Marche,HELLEMMES-LILLE,59260,3,50.6255,3.11369
132,En-marche-Lille-132,Lille,59000,1,50.633,3.0586
133,En-marche-Lille-133,Lille,59000,0,50.633,3.0586
134,En-marche-lille-134,lille,59000,1,50.633,3.0586
136,En Marche Lille Est,Lille,59000,7,50.6327,3.0897
137,En-marche-Lille-137,Lille,59000,0,50.633,3.0586
138,En-marche la Madeleine,la Madeleine,59110,0,50.6553,3.0703
139,Vieux Lille,Lille,59800,4,50.6406,3.0626
140,En-marche-La nouvelle Madeleine,La Madeleine,59110,0,50.6511,3.07198
142,En-marche-Lille-République,Lille,59000,3,50.633,3.0586
143,EM Templeuve,Lille,59242,4,50.5267,3.175
144,En-marche-Lille Vauban Esquermes,Lille,59000,1,50.6269,3.04157
145,En-marche-Lille-145,Lille,59000,1,50.633,3.0586
146,En-marche-Limoges-146,Limoges,87000,10,45.8315,1.2578
148,En-marche-Louveciennes-148,Louveciennes,78430,9,48.8612,2.1146
149,Lunel-149,Lunel,34400,44,43.6757,4.13488
150,En-marche-Luz_Saint_Sauveur-150,Luz_Saint_Sauveur,65120,4,42.8872,0.0394
151,En-marche-Macon,Macon,71000,22,46.3025,4.82997
152,En-marche-Malemort-sur-Correze-152,Malemort-sur-Correze,19360,3,45.1701,1.5619
154,En-marche-Marcq_en_Baroeul-Centre,Marcq_en_Baroeul,59700,21,50.6667,3.0833
155,En-marche-Marcq_En_Baroeul-155,Marcq_En_Baroeul,59700,0,50.6667,3.0833
156,En-marche-Marly-156,Marly,59770,7,50.3456,3.5496
157,En-marche-Marmande-157,Marmande,47200,1,44.4611,0.2169
158,En-marche-Marseille-158,Marseille,13008,62,43.2708,5.3821
159,En-marche-Marseille_6e_Arrondissement-159,Marseille_6e_Arrondissement,13006,75,43.2911,5.3824
160,En-marche-Massy-160,Massy,91300,33,48.7269,2.283
161,En-marche-Matoury-161,Matoury,97351,1,48.8566,2.35222
162,En-marche-Mayenne-162,Mayenne,53100,11,48.3102,-0.6937
163,En marche Mérignac,Merignac,33700,53,44.8325,-0.6338
164,En-marche-Meslay_le_Vidame-164,Meslay-le-Vidame,28360,1,48.28,1.4603
165,En-marche-Meudon-165,Meudon,92190,47,48.8138,2.235
167,En-marche-Meulan-167,Meulan,78250,9,49.0229,1.9222
168,Montbard,Montbard,21500,3,47.6236,4.3362
169,En-marche-Montbazin-169,Montbazin,34560,4,43.5167,3.6967
170,En-marche-Montbrison-170,Montbrison,42600,18,45.6186,3.9954
171,En-Marche-Gers-171,Auch,32000,8,43.65,0.5833
172,Notre banlieue n'est pas condamné a l'échec (93) Jeunes avec Macron,Montfermeil,93370,6,48.8982,2.5791
174,En-marche-Montmirail-174,Montmirail,51210,2,48.85,3.5
175,En-marche-Moulins-175,Moulins,03000,3,46.5667,3.3333
176,En-marche-Moutiers-176,Moutiers,54660,2,49.2337,5.965
177,En-marche-Mouvaux-177,Mouvaux,59420,1,50.6994,3.1343
178,En-marche-Mulhouse-178,Mulhouse,68100,24,47.75,7.3333
179,VALLEES & VIGNOBLES CIRCO 2,Munster,68140,6,48.0381,7.1341
180,En-marche-Nanterre-180,Nanterre,92000,67,48.892,2.2067
181,En-marche-Nanterre-181,Nanterre,92000,0,48.892,2.2067
182,En-marche-Nantes Graslin,Nantes,44000,89,47.2124,-1.56376
183,En-marche-Ile-de-Nantes-183,Nantes,44200,23,47.2065,-1.54333
184,En-marche-Nantes-Centre-184,Nantes,44000,17,47.2152,-1.55689
185,En-marche-Narbonne-185,Narbonne,11100,18,43.1833,3
186,En-marche-Neuvy-sur-Barangeon-186,Neuvy-sur-Barangeon,18330,2,47.2254,2.202
